"","date","hits","keyword","geo","time","gprop","category"
"1",2017-12-01,34,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"2",2018-01-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"3",2018-02-01,29,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"4",2018-03-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"5",2018-04-01,23,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"6",2018-05-01,21,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"7",2018-06-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"8",2018-07-01,22,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"9",2018-08-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"10",2018-09-01,22,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"11",2018-10-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"12",2018-11-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"13",2018-12-01,28,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"14",2019-01-01,33,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"15",2019-02-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"16",2019-03-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"17",2019-04-01,34,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"18",2019-05-01,24,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"19",2019-06-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"20",2019-07-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"21",2019-08-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"22",2019-09-01,24,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"23",2019-10-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"24",2019-11-01,0,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
"25",2019-12-01,38,"light therapy","US-MI-505","2017-12-01 2023-12-01","web",0
