"","location","hits","keyword","geo","gprop"
"556","Grand Haven",NA,"winter blues","US-MI","web"
"557","Holly",NA,"winter blues","US-MI","web"
"558","Manistee",NA,"winter blues","US-MI","web"
"559","Ann Arbor Charter Township",NA,"winter blues","US-MI","web"
"560","Beverly Hills",NA,"winter blues","US-MI","web"
"561","Petoskey",NA,"winter blues","US-MI","web"
"562","Allen Park",NA,"winter blues","US-MI","web"
"563","Sheridan Charter Township",NA,"winter blues","US-MI","web"
"564","Grosse Pointe Farms",NA,"winter blues","US-MI","web"
"565","Hartland",NA,"winter blues","US-MI","web"
"566","Brethren",NA,"winter blues","US-MI","web"
"567","Saginaw Charter Township",NA,"winter blues","US-MI","web"
"568","Linden",NA,"winter blues","US-MI","web"
"569","Hastings",NA,"winter blues","US-MI","web"
"570","Orchard Lake Village",NA,"winter blues","US-MI","web"
"571","Dexter",NA,"winter blues","US-MI","web"
"572","Lincoln Park",NA,"winter blues","US-MI","web"
"573","Marysville",NA,"winter blues","US-MI","web"
"574","Alpena",NA,"winter blues","US-MI","web"
"575","Grayling",NA,"winter blues","US-MI","web"
"576","Superior Charter Township",NA,"winter blues","US-MI","web"
"577","Benton Harbor",NA,"winter blues","US-MI","web"
"578","Grass Lake Charter Township",NA,"winter blues","US-MI","web"
"579","Hamtramck",NA,"winter blues","US-MI","web"
"580","Ferndale",NA,"winter blues","US-MI","web"
"581","Boyne City",NA,"winter blues","US-MI","web"
"582","Niles",NA,"winter blues","US-MI","web"
"583","Watertown charter Township",NA,"winter blues","US-MI","web"
"584","Chelsea",NA,"winter blues","US-MI","web"
"585","Battle Creek",NA,"winter blues","US-MI","web"
"586","DeWitt",NA,"winter blues","US-MI","web"
"587","Monroe Charter Township",NA,"winter blues","US-MI","web"
"588","Richmond",NA,"winter blues","US-MI","web"
"589","Rockford",NA,"winter blues","US-MI","web"
"590","Madison Heights",NA,"winter blues","US-MI","web"
"591","Hillsdale",NA,"winter blues","US-MI","web"
"592","Grandville",NA,"winter blues","US-MI","web"
"593","Benzonia",NA,"winter blues","US-MI","web"
"594","Lapeer",NA,"winter blues","US-MI","web"
"595","Shepherd",NA,"winter blues","US-MI","web"
"596","Frankenmuth",NA,"winter blues","US-MI","web"
"597","Summit Township",NA,"winter blues","US-MI","web"
"598","Tecumseh",NA,"winter blues","US-MI","web"
"599","Brandon Township",NA,"winter blues","US-MI","web"
"600","Ada",NA,"winter blues","US-MI","web"
