Category: All categories,,,
,,,
Week,light therapy: (Michigan),winter blues: (Michigan),Seasonal affective disorder: (Michigan)
11/27/22,82,14,63
12/4/22,45,0,37
12/11/22,49,0,39
12/18/22,48,4,20
12/25/22,57,0,21
1/1/23,78,0,45
1/8/23,63,4,51
1/15/23,70,0,47
1/22/23,74,0,38
1/29/23,60,17,44
2/5/23,75,6,26
2/12/23,47,4,28
2/19/23,56,0,31
2/26/23,49,7,25
3/5/23,53,0,16
3/12/23,34,0,19
3/19/23,57,0,14
3/26/23,45,8,15
4/2/23,37,0,0
4/9/23,44,0,15
4/16/23,43,0,16
4/23/23,44,4,14
4/30/23,43,4,14
5/7/23,54,0,13
5/14/23,32,0,11
5/21/23,32,5,13
5/28/23,21,0,5
6/4/23,40,0,0
6/11/23,38,0,0
6/18/23,42,0,8
6/25/23,50,0,0
7/2/23,32,0,5
7/9/23,36,0,4
7/16/23,51,6,0
7/23/23,49,0,0
7/30/23,34,0,5
8/6/23,34,0,16
8/13/23,54,0,0
8/20/23,38,0,9
8/27/23,30,0,23
9/3/23,43,3,11
9/10/23,23,0,10
9/17/23,33,0,18
9/24/23,41,0,18
10/1/23,47,4,15
10/8/23,57,3,31
10/15/23,55,0,19
10/22/23,52,0,41
10/29/23,57,13,32
11/5/23,56,7,41
11/12/23,75,0,36
11/19/23,65,4,19
11/26/23,100,0,43
